#name	species	assembly
Cryptosporidium andersoni	cryptosporidium_andersoni_gca_001865355	ASM186535v1
Cryptosporidium meleagridis str. UKMEL1	cryptosporidium_meleagridis_gca_001593445	CryMelUKMEL1-1.0
Cryptosporidium muris RN66	cryptosporidium_muris_rn66_gca_000006515	JCVI-cmg-v1.0
Cryptosporidium parvum Iowa II	cryptosporidium_parvum_iowa_ii_gca_000165345	ASM16534v1
Cryptosporidium ubiquitum	cryptosporidium_ubiquitum_gca_001865345	ASM186534v1
Cyclospora cayetanensis str. CHN_HEN01	cyclospora_cayetanensis_gca_000769155	ASM76915v2
Cystoisospora suis str. Wien I	cystoisospora_suis_gca_002600585	ASM260058v1
Dictyostelium discoideum	dictyostelium_discoideum	dicty_2.7
Dictyostelium purpureum str. QSDP1	dictyostelium_purpureum_gca_000190715	v1.0
Ectocarpus siliculosus str. Ec 32 (CCAP 1310/04)	ectocarpus_siliculosus_gca_000310025	ASM31002v1
Eimeria acervulina	eimeria_acervulina_gca_000499425	EAH001
Eimeria brunetti	eimeria_brunetti_gca_000499725	EBH001
Eimeria maxima str. Weybridge	eimeria_maxima_gca_000499605	EMW001
Eimeria mitis	eimeria_mitis_gca_000499745	EMH001
Eimeria praecox	eimeria_praecox_gca_000499445	EPH001
Eimeria tenella str. Houghton	eimeria_tenella_gca_000499545	ETH001
Emiliania huxleyi	emiliania_huxleyi	Emiliana huxleyi CCMP1516 main genome assembly v1.0
Entamoeba dispar SAW760	entamoeba_dispar_saw760_gca_000209125	JCVI_EDISG_1.0
Entamoeba histolytica	entamoeba_histolytica	JCVI-ESG2-1.0
Entamoeba histolytica str. HM1:IMSS clone 6	entamoeba_histolytica_gca_001662325	Ehistolytica_2016
Entamoeba histolytica HM-1:IMSS-A	entamoeba_histolytica_hm_1_imss_a_gca_000365475	EHA_CA v1
Entamoeba histolytica HM-1:IMSS-B str. HM3:IMSS-B	entamoeba_histolytica_hm_1_imss_b_gca_000344925	EHA_CB v1
Entamoeba histolytica HM-3:IMSS	entamoeba_histolytica_hm_3_imss_gca_000346345	EHA.strHM3 v1
Entamoeba histolytica KU27	entamoeba_histolytica_ku27_gca_000338855	EHA_ku27 v1
Entamoeba invadens IP1	entamoeba_invadens_ip1_gca_000330505	EIA2 v2
Entamoeba nuttalli P19	entamoeba_nuttalli_p19_gca_000257125	ENU1 v1
Fonticula alba str. ATCC 38817	fonticula_alba_gca_000388065	Font_alba_ATCC_38817_V2
Fragilariopsis cylindrus CCMP1102	fragilariopsis_cylindrus_ccmp1102_gca_001750085	Fracy1
Giardia intestinalis assemblage B str. BAH15c1	giardia_intestinalis_assemblage_b_gca_001543975	G_duodenalis_AssB_BAH15c1
Giardia intestinalis ATCC 50581 str. GS/M H7	giardia_intestinalis_atcc_50581_gca_000182405	ASM18240v1
Giardia intestinalis str. DH	giardia_intestinalis_gca_000498715	ASM49871v1
Giardia intestinalis str. GS	giardia_intestinalis_gca_000498735	ASM49873v1
Giardia lamblia	giardia_lamblia	GL2
Giardia lamblia P15	giardia_lamblia_p15_gca_000182665	ASM18266v1
Gregarina niphandrodes	gregarina_niphandrodes_gca_000223845	GNI3
Guillardia theta CCMP2712	guillardia_theta	Guith1
Hammondia hammondi str. H.H.34	hammondia_hammondi_gca_000258005	HHA1 v02
Hondaea fermentalgiana	hondaea_fermentalgiana_gca_002897355	Aurantiochytrium_FCC1311_v1
Hyaloperonospora arabidopsidis	hyaloperonospora_arabidopsidis	HyaAraEmoy2_2.0
Ichthyophthirius multifiliis str. G5	ichthyophthirius_multifiliis_gca_000220395	JCVI-IMG1-V.1
Kipferlia bialata	kipferlia_bialata_gca_003568945	KIPB_1.0
Leishmania donovani str. BPK282A1	leishmania_donovani_gca_000227135	ASM22713v2
Leishmania infantum	leishmania_infantum_gca_900500625	LINF
Leishmania major	leishmania_major	ASM272v2
Leishmania panamensis str. MHOM/PA/94/PSC-1	leishmania_panamensis_gca_000755165	ASM75516v1
Leptomonas pyrrhocoris str. H10	leptomonas_pyrrhocoris_gca_001293395	ASM129339v1
Leptomonas seymouri str. ATCC 30220	leptomonas_seymouri_gca_001299535	ASM129953v1
Monosiga brevicollis MX1	monosiga_brevicollis_mx1_gca_000002865	V1.0
Naegleria gruberi str. NEG-M	naegleria_gruberi_gca_000004985	V1.0
Nannochloropsis gaditana CCMP526	nannochloropsis_gaditana_ccmp526_gca_000240725	ASM24072v1
Nannochloropsis gaditana str. B-31	nannochloropsis_gaditana_gca_000569095	NagaB31_1.0
Nothophytophthora sp. Chile5	nothophytophthora_sp_chile5_gca_001712635	PfChile5v2.0
Oxytricha trifallax str. JRB310	oxytricha_trifallax_gca_000295675_gca_000295675	oxytricha_asm_v1.1
Oxytricha trifallax str. JRB310	oxytricha_trifallax_gca_000711775	Oxytricha_MIC_v2.0
Paramecium tetraurelia	paramecium_tetraurelia	ASM16542v1
Perkinsela sp. CCAP 1560/4	perkinsela_sp_ccap_1560_4_gca_001235845	ASM123584v1
Perkinsus marinus ATCC 50983 str. PmCV4CB5 2B3 D4	perkinsus_marinus_atcc_50983_gca_000006405	JCVI_PMG_1.0
Peronospora effusa	peronospora_effusa_gca_003704535	Peff_R14
Peronospora effusa	peronospora_effusa_gca_003843895	ASM384389v1
Phaeodactylum tricornutum	phaeodactylum_tricornutum	ASM15095v2
Phytomonas sp. isolate EM1	phytomonas_sp_isolate_em1_gca_000582765	AKH_PRJEB1535_v1
Phytomonas sp. isolate Hart1	phytomonas_sp_isolate_hart1_gca_000982615	AKI_PRJEB1539_v1
Phytophthora cactorum str. 10300	phytophthora_cactorum_gca_003287315	Pcac_10300_v1
Phytophthora infestans	phytophthora_infestans	ASM14294v1
Phytophthora kernoviae	phytophthora_kernoviae	PhyKer238/432v1
Phytophthora kernoviae	phytophthora_kernoviae_gca_001707905	PkChile2v2.0
Phytophthora kernoviae	phytophthora_kernoviae_gca_001712645	PkChile7v2.0
Phytophthora kernoviae	phytophthora_kernoviae_gca_001712705	PkChile6v2.0
Phytophthora kernoviae	phytophthora_kernoviae_gca_001712715	PkChile4v2.0
Phytophthora lateralis	phytophthora_lateralis	MPF4_v1.0
Phytophthora megakarya str. zdho120	phytophthora_megakarya_gca_002215365	ASM221536v1
Phytophthora nicotianae	phytophthora_nicotianae_gca_001482985	ASM148298v1
Phytophthora nicotianae	phytophthora_nicotianae_gca_001483015	ASM148301v1
Phytophthora palmivora var. palmivora str. sbr112.9	phytophthora_palmivora_var_palmivora_gca_002911725	ASM291172v1
Phytophthora parasitica	phytophthora_parasitica	Phyt_para_P1569_V1
Phytophthora parasitica CJ01A1	phytophthora_parasitica_cj01a1_gca_000365545	Phyt_para_CJ01A1_V1
Phytophthora parasitica str. CJ02B3	phytophthora_parasitica_gca_000509465	Phyt_para_CJ02B3_V1
Phytophthora parasitica str. CJ05E6	phytophthora_parasitica_gca_000509485	Phyt_para_CJ05E6_V1
Phytophthora parasitica str. CHvinca01	phytophthora_parasitica_gca_000509505	Phyt_para_CHvinca01_V1
Phytophthora parasitica str. IAC_01/95	phytophthora_parasitica_gca_000509525	Phyt_para_IAC_01_95_V1
Phytophthora parasitica INRA-310	phytophthora_parasitica_inra_310_gca_000247585	PP_INRA-310_V2
Phytophthora parasitica P10297	phytophthora_parasitica_p10297_gca_000367145	Phyt_para_P10297_V1
Phytophthora parasitica P1976	phytophthora_parasitica_p1976_gca_000365525	Phyt_para_P1976_V1
Phytophthora ramorum	phytophthora_ramorum	ASM14973v1
Phytophthora sojae	phytophthora_sojae	P.sojae V3.0
Planoprotostelium fungivorum str. Jena	planoprotostelium_fungivorum_gca_003024175	ASM302417v1
Plasmodiophora brassicae	plasmodiophora_brassicae_gca_001049375	pbe3.h15
Plasmodium berghei	plasmodium_berghei	PBANKA01
Plasmodium berghei	plasmodium_berghei_gca_900044335	PbK173
Plasmodium berghei	plasmodium_berghei_gca_900088445	PbNK65E
Plasmodium berghei	plasmodium_berghei_gca_900095585	PbSP11RLL
Plasmodium berghei	plasmodium_berghei_gca_900095635	PbSP11A
Plasmodium chabaudi	plasmodium_chabaudi	PCHAS01
Plasmodium chabaudi adami	plasmodium_chabaudi_adami_gca_900095565	PchDK
Plasmodium chabaudi chabaudi	plasmodium_chabaudi_chabaudi_gca_900095605	PchCB
Plasmodium coatneyi	plasmodium_coatneyi_gca_001680005	ASM168000v1
Plasmodium cynomolgi strain B	plasmodium_cynomolgi_strain_b_gca_000321355	PcynB_1.0
Plasmodium falciparum 3D7	plasmodium_falciparum	EPr 1
Plasmodium falciparum 7G8	plasmodium_falciparum_7g8_gca_000150435	Plas_falc_7G8_V1
Plasmodium falciparum CAMP/Malaysia	plasmodium_falciparum_camp_malaysia_gca_000521115	Plas_falc_Malayan_Camp_V1
Plasmodium falciparum Dd2	plasmodium_falciparum_dd2_gca_000149795	ASM14979v1
Plasmodium falciparum FCH/4	plasmodium_falciparum_fch_4_gca_000521155	Plas_falc_FCH_4_V2
Plasmodium falciparum HB3	plasmodium_falciparum_hb3_gca_000149665	ASM14966v2
Plasmodium falciparum IGH-CR14	plasmodium_falciparum_igh_cr14_gca_000186055	ASM18605v2
Plasmodium falciparum MaliPS096_E11	plasmodium_falciparum_malips096_e11_gca_000521035	Plas_falc_MaliPS096_E11_V1
Plasmodium falciparum NF135/5.C10	plasmodium_falciparum_nf135_5_c10_gca_000521075	Plas_falc_NF135_5_C10_V1
Plasmodium falciparum NF54	plasmodium_falciparum_nf54_gca_000401695	Plas_falc_NF4_V1
Plasmodium falciparum NF54	plasmodium_falciparum_nf54_gca_002831795	ASM283179v1
Plasmodium falciparum Palo Alto/Uganda	plasmodium_falciparum_palo_alto_uganda_gca_000521095	Plas_falc_Uganda_Palo-Alto_FUP_H_V1
Plasmodium falciparum RAJ116	plasmodium_falciparum_raj116_gca_000186025	ASM18602v2
Plasmodium falciparum Santa Lucia	plasmodium_falciparum_santa_lucia_gca_000150455	Plas_falc_Santa_Lucia_Salvador_I_V1
Plasmodium falciparum Tanzania (2000708)	plasmodium_falciparum_tanzania_2000708__gca_000521055	Plas_falc_02000708_V1
Plasmodium falciparum UGT5.1	plasmodium_falciparum_ugt5_1_gca_000401715	Plas_falc_5_1_V1
Plasmodium falciparum Vietnam Oak-Knoll (FVO)	plasmodium_falciparum_vietnam_oak_knoll_fvo__gca_000521015	Plas_falc_Vietnam_Oak-Knoll_FVO_V1
Plasmodium fragile str. multiple	plasmodium_fragile_gca_000956335	Plas_frag_nilgiri_V1
Plasmodium gaboni	plasmodium_gaboni_gca_001602025	ASM160202v1
Plasmodium gallinaceum	plasmodium_gallinaceum_gca_900005855	PGAL8A
Plasmodium gonderi	plasmodium_gonderi_gca_002157705	Pgonderi_assembly01
Plasmodium inui San Antonio 1	plasmodium_inui_san_antonio_1_gca_000524495	Plas_inui_San_Antonio_1_V1
Plasmodium knowlesi	plasmodium_knowlesi	ASM635v1
Plasmodium knowlesi str. Malayan Strain Pk1 (A+)	plasmodium_knowlesi_gca_002140095	PKNOHv1
Plasmodium knowlesi strain H	plasmodium_knowlesi_strain_h_gca_900004885	PKNA1-C.2
Plasmodium malariae	plasmodium_malariae_gca_900088575	Pmal
Plasmodium malariae	plasmodium_malariae_gca_900090045	PmUG01
Plasmodium ovale curtisi	plasmodium_ovale_curtisi_gca_900088555	Poc1
Plasmodium ovale curtisi	plasmodium_ovale_curtisi_gca_900088565	Poc2
Plasmodium ovale	plasmodium_ovale_gca_900090025	PowCR01
Plasmodium ovale wallikeri	plasmodium_ovale_wallikeri_gca_900088485	Pow1
Plasmodium ovale wallikeri	plasmodium_ovale_wallikeri_gca_900088545	Pow2
Plasmodium reichenowi	plasmodium_reichenowi_gca_001601855	ASM160185v1
Plasmodium reichenowi	plasmodium_reichenowi_gca_900097025	PRG01
Plasmodium relictum	plasmodium_relictum_gca_900005765	PRELSG
Plasmodium sp. DRC-Itaito	plasmodium_sp_drc_itaito_gca_900240055	PGABG02
Plasmodium sp. DRC-Itaito	plasmodium_sp_drc_itaito_gca_900257145	Plasmodium billcollinsi
Plasmodium sp. gorilla clade G2	plasmodium_sp_gorilla_clade_g2_gca_900097015	PADLG01
Plasmodium vinckei petteri str. CR	plasmodium_vinckei_petteri_gca_000524515	Plas_vinc_pett_CR_V1
Plasmodium vinckei vinckei	plasmodium_vinckei_vinckei_gca_000709005	Plas_vinc_vinckei_V1
Plasmodium vivax	plasmodium_vivax	ASM241v2
Plasmodium vivax Brazil I	plasmodium_vivax_brazil_i_gca_000320645	PV_Brazil_I_V1
Plasmodium vivax	plasmodium_vivax_gca_900093555	PvP01
Plasmodium vivax India VII	plasmodium_vivax_india_vii_gca_000320625	PV_India_VII_V2
Plasmodium vivax Mauritania I	plasmodium_vivax_mauritania_i_gca_000320665	PV_Mauritania_I_V1
Plasmodium vivax North Korean	plasmodium_vivax_north_korean_gca_000320685	PV_N_Korean_V1
Plasmodium yoelii 17X	plasmodium_yoelii_17x_gca_000505035	Plas_yoel_17X_V2
Plasmodium yoelii str. 17X	plasmodium_yoelii_gca_900002385	PY17X01
Plasmodium yoelii str. YM	plasmodium_yoelii_gca_900002395	PYYM01
Plasmodium yoelii yoelii str. 17XNL	plasmodium_yoelii_yoelii_gca_000003085	ASM308v2
Plasmopara halstedii	plasmopara_halstedii_gca_900000015	Plasmopara halstedii genome
Pseudocohnilembus persalinus	pseudocohnilembus_persalinus_gca_001447515	ASM144751v1
Pythium aphanidermatum	pythium_aphanidermatum	pag1_scaffolds_v1
Pythium arrhenomanes	pythium_arrhenomanes	par_scaffolds_v1
Pythium irregulare	pythium_irregulare	pir_scaffolds_v1
Pythium iwayamai	pythium_iwayamai	piw_scaffolds_v1
Pythium ultimum	pythium_ultimum	pug
Pythium vexans	pythium_vexans	pve_scaffolds_v1
Reticulomyxa filosa	reticulomyxa_filosa_gca_000512085	Reti_assembly1.0
Salpingoeca rosetta str. ATCC 50818	salpingoeca_rosetta_gca_000188695	Proterospongia_sp_ATCC50818
Saprolegnia diclina VS20	saprolegnia_diclina_vs20_gca_000281045	Sap_diclina_VS20_V1
Saprolegnia parasitica CBS 223.65	saprolegnia_parasitica_cbs_223_65_gca_000151545	ASM15154v2
Sphaeroforma arctica JP610	sphaeroforma_arctica_jp610_gca_001186125	Spha_arctica_JP610_V1
Spironucleus salmonicida	spironucleus_salmonicida_gca_000497125	SSK3.0
Stentor coeruleus	stentor_coeruleus_gca_001970955	ASM197095v1
Strigomonas culicis	strigomonas_culicis_gca_000442495	Strigomonas culicis Genome
Stylonychia lemnae str. 130c	stylonychia_lemnae_gca_000751175	Stylonychia_lemnae_asm_v1.0
Symbiodinium microadriaticum str. CCMP2467	symbiodinium_microadriaticum_gca_001939145	ASM193914v1
Tetrahymena thermophila	tetrahymena_thermophila	JCVI-TTA1-2.2
Thalassiosira oceanica str. CCMP1005	thalassiosira_oceanica_gca_000296195	ThaOc_1.0
Thalassiosira pseudonana	thalassiosira_pseudonana	ASM14940v2
Thecamonas trahens ATCC 50062	thecamonas_trahens_atcc_50062_gca_000142905	TheTra_May2010
Theileria equi strain WA	theileria_equi_strain_wa_gca_000342415	JCVI-bewag-v1.1
Theileria orientalis str. Robertson	theileria_orientalis_gca_003072525	ASM307252v1
Theileria orientalis str. Goon Nure	theileria_orientalis_gca_003072535	ASM307253v1
Theileria orientalis str. Fish Creek	theileria_orientalis_gca_003072545	ASM307254v1
Theileria orientalis strain Shintoku	theileria_orientalis_strain_shintoku_gca_000740895	ASM74089v1
Theileria parva str. Muguga	theileria_parva_gca_000165365	ASM16536v1
Thraustotheca clavata str. ATCC 34112	thraustotheca_clavata_gca_002081575	Thrcla_v1
Tieghemostelium lacteum str. TK	tieghemostelium_lacteum_gca_001606155	ASM160615v1
Toxoplasma gondii ME49	toxoplasma_gondii	TGA4
Toxoplasma gondii ARI	toxoplasma_gondii_ari_gca_000250965	TGARI v2
Toxoplasma gondii COUG	toxoplasma_gondii_coug_gca_000338675	TGCOUG_v2
Toxoplasma gondii FOU	toxoplasma_gondii_fou_gca_000224905	TGFOU1v02
Toxoplasma gondii GAB2-2007-GAL-DOM2	toxoplasma_gondii_gab2_2007_gal_dom2_gca_000325525	TGGABGALDOM2_v2.1
Toxoplasma gondii CAST	toxoplasma_gondii_gca_000256705	TGCAST v2
Toxoplasma gondii GT1	toxoplasma_gondii_gt1_gca_000149715	TGGT1
Toxoplasma gondii MAS	toxoplasma_gondii_mas_gca_000224865	TGMAS1 v2
Toxoplasma gondii p89	toxoplasma_gondii_p89_gca_000224885	TGP89A v02
Toxoplasma gondii RUB	toxoplasma_gondii_rub_gca_000224805	TGRUB v2
Toxoplasma gondii TgCATBr9	toxoplasma_gondii_tgcatbr9_gca_000224825	TGCATBR9_v2
Toxoplasma gondii TgCatPRC2	toxoplasma_gondii_tgcatprc2_gca_000256725	TGCATPRC2 v2
Toxoplasma gondii VAND	toxoplasma_gondii_vand_gca_000224845	TGVAND v2
Toxoplasma gondii VEG	toxoplasma_gondii_veg_gca_000150015	TGVEG
Tritrichomonas foetus str. K	tritrichomonas_foetus_gca_001839685	ASM183968v1
Trypanosoma brucei	trypanosoma_brucei	TryBru_Apr2005_chr11
Trypanosoma brucei equiperdum str. IVM-t1	trypanosoma_brucei_equiperdum_gca_003543875	ASM354387v1
Trypanosoma conorhini	trypanosoma_conorhini_gca_003719485	ASM371948v1
Trypanosoma cruzi Dm28c	trypanosoma_cruzi_dm28c_gca_000496795	T.cruzi.Dm28c_v01
Trypanosoma cruzi str. CL Brener	trypanosoma_cruzi_gca_000209065	ASM20906v1
Trypanosoma cruzi str. TCC	trypanosoma_cruzi_gca_003177095	TCC_diploid_1.0
Trypanosoma cruzi str. Dm28c	trypanosoma_cruzi_gca_003177105	ASM317710v1
Trypanosoma cruzi	trypanosoma_cruzi_gca_003719155	ASM371915v1
Trypanosoma cruzi	trypanosoma_cruzi_gca_003719455	ASM371945v1
Trypanosoma cruzi marinkellei	trypanosoma_cruzi_marinkellei_gca_000300495	ASM30049v1
Trypanosoma equiperdum	trypanosoma_equiperdum_gca_001457755	Trypanosoma equiperdum OVI V2
Trypanosoma rangeli	trypanosoma_rangeli_gca_003719475	ASM371947v1
Trypanosoma rangeli SC58	trypanosoma_rangeli_sc58_gca_000492115	T_rangeli_SC58v1
Trypanosoma theileri	trypanosoma_theileri_gca_002087225	Tth v3
